"","x"
"1","KRT33A"
"2","ABCC8"
"3","TAC1"
"4","LGALS14"
"5","TFAP2B"
"6","GABRA3"
"7","NR1H4"
"8","SLC7A14"
"9","CLCA4"
"10","SLC7A9"
"11","TG"
"12","GUCA2B"
"13","MAGEC2"
"14","MCOLN3"
"15","SERPINB3"
"16","TSPAN32"
"17","DMRT3"
"18","COL17A1"
"19","ACSM2B"
"20","PAGE1"
"21","SCT"
"22","EPHA8"
"23","MS4A12"
"24","SLC6A15"
"25","TP63"
"26","SMARCE1"
"27","DHRS9"
"28","ATP12A"
"29","ACTL6B"
"30","HOXA9"
"31","BRINP1"
"32","BPIFB2"
"33","PKP1"
"34","APOB"
"35","FAT2"
"36","HSD17B2"
"37","TMPRSS11E"
"38","SULT2B1"
"39","SLC15A1"
"40","TMEM40"
"41","LHX5"
"42","FETUB"
"43","CPA1"
"44","TGM1"
"45","VNN3P"
"46","KRT31"
"47","NXPE1"
"48","CYP26A1"
"49","KCNK16"
"50","CRISP3"
"51","PGC"
"52","MLN"
"53","MAGEB2"
"54","HCN2"
"55","CYP2D6"
"56","CHGA"
"57","SALL4"
"58","HRH3"
"59","NKAIN4"
"60","RSPO4"
"61","PROKR2"
"62","CST4"
"63","NOL4"
"64","GLRA2"
"65","BRS3"
"66","AQP8"
"67","TGM5"
"68","SCG3"
"69","CKM"
"70","KLC3"
"71","CASP14"
"72","SULT2A1"
"73","CNFN"
"74","SLC5A5"
"75","ATP4A"
"76","MAG"
"77","NPTX2"
"78","KRT23"
"79","RUNDC3A"
"80","P2RX1"
"81","SLC6A4"
"82","KRT32"
"83","ALOX12"
"84","FOXN1"
"85","CWH43"
"86","APOA4"
"87","APOC3"
"88","SCGB2A2"
"89","C11orf21"
"90","KCNA1"
"91","ENDOU"
"92","IFNG"
"93","APOBEC1"
"94","GYS2"
"95","KHDRBS2"
"96","CDH9"
"97","GABRG2"
"98","SLC27A6"
"99","RBP2"
"100","SLC5A7"
"101","LCT"
"102","KISS1R"
"103","ARID3A"
"104","APOA1"
"105","ARG1"
"106","PPL"
"107","FGF23"
"108","ELOVL3"
"109","PPP1R3C"
"110","GRIA2"
"111","TP53AIP1"
"112","SOHLH2"
"113","ABCC11"
"114",""
"115","CSTA"
"116","GJB6"
"117","GHSR"
"118","HOXC12"
"119","PI3"
"120","EDN3"
"121","HIF3A"
"122","LYPD3"
"123","EREG"
"124","SCGB1D2"
"125","MIR9-1HG"
"126","TGM3"
"127","PAX1"
"128","FAM83C"
"129","SLURP1"
"130","FFAR1"
"131","CTAG2"
"132","RFPL2"
"133","KRT17"
"134","CPA4"
"135","VGF"
"136","CCDC136"
"137","HOXD10"
"138","HOXD11"
"139","HOXD13"
"140","BBOX1"
"141","TPH1"
"142","ACE2"
"143","H19"
"144","DUSP9"
"145","SLC7A10"
"146","DEFB118"
"147","PYY"
"148","TEX101"
"149","CCL25"
"150","IDO1"
"151","G6PC1"
"152","TNS4"
"153","POPDC3"
"154","RHBG"
"155","CRP"
"156","ALDH3B2"
"157","MYO18B"
"158","SPINK5"
"159","VRTN"
"160","CHIA"
"161","GRHL1"
"162","EMP1"
"163","DSG3"
"164","DSG1"
"165","DSC3"
"166","DSC1"
"167","CBLIF"
"168","ANXA1"
"169","KCNH3"
"170","SCEL"
"171","IL1RN"
"172","IL36A"
"173","IL36RN"
"174","IL36B"
"175","ALDOB"
"176","NXPE4"
"177","TRIM29"
"178","TMPRSS13"
"179","DUOX1"
"180","CLCA2"
"181","SIX3"
"182","CYP2C9"
"183","PLA2G12B"
"184","ZNF365"
"185","GUCA1C"
"186","MTTP"
"187","COL2A1"
"188","FOXN4"
"189","ZIC5"
"190","WARS1"
"191","DUOXA1"
"192","RHCG"
"193","SH3GL3"
"194","MEP1B"
"195","ZNF750"
"196","FBN3"
"197","SLC2A5"
"198","PADI3"
"199","PADI1"
"200","BEST4"
"201","F13B"
"202","CRNN"
"203","S100A8"
"204","S100A7"
"205","AQP10"
"206","FLG"
"207","LEFTY2"
"208","NAT8"
"209","AHSG"
"210","FABP2"
"211","SHISAL2B"
"212","ANKRD31"
"213","SPINK7"
"214","CPLX2"
"215","LGSN"
"216","TRIM50"
"217","MAGEA4"
"218","ZNF185"
"219","TRIM55"
"220","GSDMC"
"221","CDHR1"
"222","SLC5A12"
"223","DRD2"
"224","GRIK4"
"225","AKR1C2"
"226","CCDC175"
"227","GRIA4"
"228","MEPE"
"229","BMP3"
"230","PTPRR"
"231","TMPRSS11D"
"232","SPHKAP"
"233","CDH12"
"234","GPR15"
"235","CYP4Z2P"
"236","CERS3"
"237","WNT3A"
"238","GBP5"
"239","CHODL"
"240","TMPRSS15"
"241","CA10"
"242","GPR78"
"243","MAGEC1"
"244","RAET1L"
"245","UGT2B4"
"246","SLC28A1"
"247","NAA11"
"248","CLDN17"
"249","LHFPL4"
"250","SST"
"251","NMNAT2"
"252","MEGF11"
"253","GRHL3"
"254","CPA2"
"255","PAGE5"
"256","ITLN2"
"257","APOA2"
"258","IGF2BP1"
"259","GIP"
"260","CELF3"
"261","TGM7"
"262","PGLYRP3"
"263","PIP"
"264","CHRNB2"
"265","CYP3A4"
"266","HS3ST6"
"267","CIMAP2"
"268","NEUROD1"
"269","BNIPL"
"270","LCE3D"
"271","IVL"
"272","SPRR3"
"273","SPRR2D"
"274","S100A9"
"275","ALPI"
"276","TAFA4"
"277","LMOD3"
"278","CCKAR"
"279","FEV"
"280","CRYBA2"
"281","AIM2"
"282","FABP1"
"283","TGM4"
"284","CAMKV"
"285","ETNPPL"
"286","ASB5"
"287","HTR4"
"288","TLX3"
"289","IL31RA"
"290","RAET1E"
"291","TBX20"
"292","SLC29A4"
"293","SLC30A8"
"294","DEFA5"
"295","DEFA6"
"296","TRPV6"
"297","CFAP47"
"298","PTCHD1"
"299","ASB11"
"300","SLC7A3"
"301","PHYHIPL"
"302","TMEM63C"
"303","GFI1B"
"304","SLC39A2"
"305","RNASE7"
"306","SPMIP5"
"307","KCNC2"
"308","SVOP"
"309","ASPG"
"310","SYNPO2L"
"311","A2ML1"
"312","SERPINB12"
"313","SCNN1G"
"314","B4GALNT2"
"315","IGF2"
"316","CA4"
"317","LY6D"
"318","KLK13"
"319","KRT1"
"320","ACER1"
"321","SOAT2"
"322","EVPL"
"323","KRT24"
"324","KCNJ4"
"325","GNG4"
"326","FOXI1"
"327","SCNN1B"
"328","LGI3"
"329","LRP1B"
"330","CA7"
"331","HTR1E"
"332","PMCHL1"
"333","VCX3A"
"334","CXCL11"
"335","HSPB3"
"336","OR5AU1"
"337","SPRR1B"
"338","SPRR1A"
"339","CRCT1"
"340","ZNF280A"
"341","MUC15"
"342","BNC1"
"343","S100G"
"344","SERPINA9"
"345","SERPINA6"
"346","VSTM2A"
"347","KRT78"
"348","SDR9C7"
"349","KRT6C"
"350","KRT4"
"351","COX7B2"
"352","GTSF1"
"353","CELP"
"354","UGT2B7"
"355","KRT15"
"356","KRTAP4-4"
"357","KRT13"
"358","KRT27"
"359","CDK5R2"
"360","FGG"
"361","FGB"
"362","AQP4"
"363","CYP4F22"
"364","MAL"
"365","B3GALT1"
"366","PRSS27"
"367","NIPAL4"
"368","MS4A10"
"369","FADS6"
"370","KRT2"
"371","HPSE2"
"372","MAB21L3"
"373","C11orf86"
"374","DMRT2"
"375","DAB1"
"376","GPRC6A"
"377","HAP1"
"378","TDRD12"
"379","KRT28"
"380","GSTA3"
"381","IGDCC3"
"382","IL20RB"
"383","ZG16"
"384","WFDC5"
"385","PCSK1"
"386","ACRP1"
"387","DENND2C"
"388","ASCL3"
"389","CRYBG2"
"390",""
"391","NHLH2"
"392","MAMDC4"
"393","AMER3"
"394","SPINK6"
"395","FAM230I"
"396","CALML3"
"397","CALML5"
"398","DYNAP"
"399","FOXE1"
"400","C14orf39"
"401","ZFP42"
"402","ALOX12B"
"403","SLC17A8"
"404","MRGPRX3"
"405","ADGRD2"
"406","KRTAP9-7"
"407","CYP8B1"
"408","RNF182"
"409","CHRM4"
"410","CHRM2"
"411","SAGE1"
