"","x"
"1","SLC22A16"
"2","CRLF1"
"3","CCL26"
"4","FMO1"
"5","KDM5D"
"6","IGF1"
"7","HGF"
"8","CYP3A43"
"9","CPS1"
"10","C8B"
"11","BEST2"
"12","CHRDL2"
"13","NGFR"
"14","DDX3Y"
"15","ZFY"
"16","TRPC7"
"17","TRPM5"
"18","TRHDE"
"19","PAX2"
"20","CAPN6"
"21","DCX"
"22","DNAAF6"
"23","COL4A4"
"24","FOLH1"
"25","CPXM1"
"26","LYZ"
"27","APOH"
"28","CMA1"
"29","RPGRIP1"
"30","TBL1Y"
"31","BAMBI"
"32","IL11"
"33","PCDH11Y"
"34","PRKY"
"35","OSM"
"36","LGALS2"
"37","MIOX"
"38","UPK3A"
"39","CTSG"
"40","DHRS2"
"41","EEF1A2"
"42","PAGE4"
"43","PCYT1B"
"44","MEDAG"
"45","OLFM4"
"46","CBLN1"
"47","PRSS33"
"48","CEMIP"
"49","CALB1"
"50","CGB3"
"51","CLC"
"52","CCNP"
"53","SYNGR4"
"54","HAS1"
"55","NOBOX"
"56","SPOCK2"
"57","RASD1"
"58","NRXN2"
"59","FOLR3"
"60","PPM1H"
"61","GLP1R"
"62","PRDM13"
"63","HAND1"
"64","THBS4"
"65","USP9Y"
"66","UPK1B"
"67","ACVR1"
"68","GCG"
"69","EFEMP1"
"70","VAX2"
"71","RPE65"
"72","ACTL8"
"73","PLPPR4"
"74","A4GNT"
"75","MMP8"
"76","PRLHR"
"77","HS3ST2"
"78","IL13RA2"
"79","F13A1"
"80","CXCL6"
"81","SLC10A2"
"82","IL1B"
"83","GFRA4"
"84","KIRREL2"
"85","AVPR2"
"86","MASP1"
"87","PLA2G5"
"88","GALR3"
"89","RPS4Y1"
"90","FIBCD1"
"91","TXLNGY"
"92","ADGRE3"
"93","STARD3"
"94","HHLA1"
"95","SSTR4"
"96","SLC14A2"
"97","NMUR2"
"98","EPHB2"
"99","FOLH1B"
"100","APLNR"
"101","CLDN10"
"102","ELF5"
"103","CPM"
"104","HTR2B"
"105","SLC19A3"
"106","STAB2"
"107","IL6"
"108","NKX2-1"
"109","TBR1"
"110","GABBR2"
"111","CAPN11"
"112","PI15"
"113","MMP13"
"114","CYP19A1"
"115","ADAM21"
"116","SERPINA10"
"117","CHST4"
"118","ADCYAP1"
"119","ASGR1"
"120","IL19"
"121","DMRTA2"
"122","FAM163A"
"123","GALNT13"
"124","PKP4"
"125","PTH2R"
"126","SFRP2"
"127","DCDC2"
"128","KAAG1"
"129","IGFBP1"
"130","STRA8"
"131","AKAP4"
"132","DPYS"
"133","ADAM12"
"134","MMP3"
"135","ADRA2A"
"136","CACNA2D4"
"137","ITIH2"
"138","STK32B"
"139","CCDC148"
"140","THY1"
"141","TMSB4Y"
"142","ALX3"
"143","LRFN2"
"144","GLYATL2"
"145","ZIC3"
"146","SVOPL"
"147","SLC34A2"
"148","VWA5B1"
"149","PRAC1"
"150","ACTC1"
"151","LRRC36"
"152","TPPP3"
"153","COX6B2"
"154","S100A1"
"155","LY6K"
"156","SCGB3A1"
"157","ZG16B"
"158","FGF19"
"159","IL24"
"160","CXCR1"
"161","SYNPR"
"162","ALB"
"163","CXCL5"
"164","PPBP"
"165","PF4"
"166","CPA3"
"167","TCF23"
"168","ESM1"
"169","CSF2"
"170","TBXT"
"171","NLGN4Y"
"172","CLDN2"
"173","LRRC18"
"174","DRGX"
"175","NELL1"
"176",""
"177","LRTM2"
"178","PLIN1"
"179","ELFN2"
"180","NLRP7"
"181","SEMA6B"
"182","KLK1"
"183","KLK4"
"184","KLK5"
"185","SLC22A11"
"186","MYL1"
"187","AXIN2"
"188","SFTPB"
"189","UMOD"
"190","GP2"
"191","DRD5"
"192","PYDC1"
"193","CYTL1"
"194","OR8B12"
"195","FPR2"
"196","FPR1"
"197","OBP2B"
"198","MUC7"
"199","APLN"
"200","SSX6P"
"201","SHANK2-AS3"
"202","SYCE1"
"203","PRND"
"204","REG1B"
"205","PRSS30P"
"206","TCAP"
"207","NWD2"
"208","DIRC1"
"209","KLK15"
"210","APOF"
"211","ALG10B"
"212","GOLGA8DP"
"213","LINC02915"
"214",""
"215","TTTY14"
"216","CD300LB"
"217","HES7"
"218","LINC02870"
"219","LINC01555"
"220","ADIPOQ"
"221","CCL13"
"222","MAB21L2"
"223","LINC03040"
"224","GOLGA8CP"
"225","TEX19"
"226","EPHB3"
"227","VMO1"
"228","PRORY"
"229","IZUMO1R"
"230","CCR3"
"231","FOXL2"
"232","UTY"
"233","NPW"
"234","CTAG1B"
"235","TRARG1"
"236","WT1"
"237","MYADML2"
"238","CD24P4"
"239","DBX2"
"240","KCNIP4"
"241","GRK1"
"242","LEMD1"
"243","NBPF6"
"244","BPIFB4"
"245","LCE1E"
"246","KLHL32"
"247","CD300E"
"248","CYP4A11"
"249","NPSR1"
"250","DPPA3"
"251","ERAS"
"252","DMBT1"
"253","WNT7B"
"254","DAZ1"
"255","PLA2G2A"
"256","COL25A1"
"257","IGFL3"
"258","SNTN"
"259","CGB5"
"260","SULT1C3"
"261","SFTA2"
"262","ANKRD20A19P"
"263","NPSR1-AS1"
"264","SERPINA1"
"265","DIO3"
"266","EIF1AY"
"267","APCDD1L"
"268","MUC2"
"269","STYXL2"
"270","DCAF12L1"
"271","POU3F3"
"272","LINC02408"
"273",""
"274","PKP4-AS1"
"275","C6orf15"
"276","PCDHA4"
"277","OR5G5P"
"278",""
"279","KRT81"
"280","DAZ4"
"281","DAZ2"
"282","GYG2P1"
"283","FOXL2NB"
"284","COL6A6"
"285","DIO1"
"286","IGKV3D-20"
"287","IGKV6D-41"
"288","TRBV10-1"
"289","TRBV11-1"
"290","IGHD"
"291","ERV3-1"
"292","LINC02418"
"293","UCA1"
"294","TMEM213"
"295","SPDYE3"
"296","SLC6A10P"
"297","LINC01913"
"298","OR7E5P"
"299","PNMA6E"
"300","BCORP1"
"301","HMX1"
"302","ZNF839P1"
"303","CLDN10-AS1"
"304","LINC01615"
"305","SMPD4P1"
"306","LINP1"
"307",""
"308","CENPVL3"
"309","LINC01087"
"310",""
"311","ARSDP1"
"312",""
"313","FRG2B"
"314","MTND1P23"
"315","ZNF503-AS1"
"316",""
"317","LINC00408"
"318","LINC01876"
"319",""
"320","LINC00323"
"321",""
"322",""
"323",""
"324","SPANXB1"
"325","HSFY3P"
"326","ACNATP"
"327",""
"328",""
"329","LINC02048"
"330","LINC00392"
"331","CDY4P"
"332","LINC02474"
"333",""
"334","MYO5BP3"
"335","RPS3AP30"
"336","NLGN4Y-AS1"
"337","LINC02041"
"338","TTTY10"
"339",""
"340",""
"341","LINC01079"
"342",""
"343","PKP4P1"
"344","SPNS2-AS1"
"345","LINC01840"
"346",""
"347","STMND1"
"348","SCTR-AS1"
"349",""
"350","C1DP1"
"351",""
"352",""
"353",""
"354","LINC01249"
"355","LINC00278"
"356","DLX6-AS1"
"357","PGM5P4-AS1"
"358",""
"359",""
"360",""
"361","LINC01517"
"362",""
"363","DDX3ILA1"
"364","LINC01162"
"365","RGS5-AS1"
"366","ZFY-AS1"
"367",""
"368","LINC00460"
"369",""
"370","LINC01694"
"371","BOK-AS1"
"372","GAPDHP49"
"373","LINC01914"
"374",""
"375","C2CD4D-AS1"
"376","LINC02623"
"377","MLIP-AS1"
"378","LINC02532"
"379",""
"380",""
"381",""
"382","EYA2-AS1"
"383","LINC02889"
"384","LINC01639"
"385","TRHDE-AS1"
"386",""
"387","LINC02920"
"388","MED15P5"
"389","CNOT4P1"
"390","LINC01474"
"391","LINC02814"
"392","LINC01065"
"393","LINC00987"
"394",""
"395","LINC01502"
"396","LINC01522"
"397",""
"398","SCIRT"
"399","NFIA-AS2"
"400","LINC02806"
"401",""
"402","SLC9A3P2"
"403","PRR20G"
"404","ZNF736P9Y"
"405","LINC00973"
"406","CRIPTO"
"407",""
"408","ANOS2P"
"409",""
"410",""
"411","GTF2A1L"
"412","RPS3AP34"
